SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
22/07/25 ter;0,00%; 5,57 ;1.319.282,64 ; 251,31 ; 2.633,53 ; 1.319.533,95 ; 17.248,49 ; 8.221.086,28 ; 7.389.917,93 ;-831.168,34 ; 65,54 ; 5.749,50 ; -   ; -   ;;;;;;;;;;;;;;
23/07/25 qua;0,00%; 5,55 ;1.319.533,95 ; 251,36 ; 2.884,89 ; 1.319.785,31 ; 18.644,45 ; 8.222.482,24 ; 7.391.325,63 ;-831.156,61 ; 70,85 ; 6.214,82 ; -   ; -   ;;;;;;;;;;;;;;
24/07/25 qui;0,00%; 5,52 ;1.319.785,31 ; 251,40 ; 3.136,30 ; 1.320.036,71 ; 20.033,18 ; 8.223.870,97 ; 7.392.733,60 ;-831.137,37 ; 76,13 ; 6.677,73 ; -   ; -   ;;;;;;;;;;;;;;
25/07/25 sex;0,00%; 5,54 ;1.320.036,71 ; 251,45 ; 3.387,75 ; 1.320.288,16 ; 21.426,88 ; 8.225.264,67 ; 7.394.141,83 ;-831.122,84 ; 81,42 ; 7.142,29 ; -   ; -   ;;;;;;;;;;;;;;
26/07/25 sáb;0,00%; 5,54 ;1.320.288,16 ; 251,50 ; 3.639,25 ; 1.320.539,66 ; 22.820,84 ; 8.226.658,63 ; 7.395.550,33 ;-831.108,30 ; 86,72 ; 7.606,95 ; -   ; -   ;;;;;;;;;;;;;;
27/07/25 dom;0,00%; 5,54 ;1.320.539,66 ; 251,55 ; 3.890,80 ; 1.320.791,21 ; 24.215,07 ; 8.228.052,86 ; 7.396.959,10 ;-831.093,76 ; 92,02 ; 8.071,69 ; -   ; -   ;;;;;;;;;;;;;;
28/07/25 seg;0,00%; 5,59 ;1.320.791,21 ; 251,60 ; 4.142,39 ; 1.321.042,81 ; 25.620,91 ; 8.229.458,71 ; 7.398.368,14 ;-831.090,57 ; 97,36 ; 8.540,30 ; -   ; -   ;;;;;;;;;;;;;;
29/07/25 ter;0,00%; 5,58 ;1.321.042,81 ; 251,64 ; 4.394,04 ; 1.321.294,45 ; 27.024,18 ; 8.230.861,97 ; 7.399.777,44 ;-831.084,53 ; 102,69 ; 9.008,06 ; -   ; -   ;;;;;;;;;;;;;;
30/07/25 qua;0,00%; 5,60 ;1.321.294,45 ; 251,69 ; 4.645,73 ; 1.321.546,14 ; 28.434,51 ; 8.232.272,30 ; 7.401.187,02 ;-831.085,28 ; 108,05 ; 9.478,17 ; -   ; -   ;;;;;;;;;;;;;;
31/07/25 qui;0,00%; 5,60 ;1.321.546,14 ; 251,74 ; 4.897,47 ; 1.321.797,88 ; 29.844,78 ; 8.233.682,57 ; 7.402.596,86 ;-831.085,71 ; 113,41 ; 9.948,26 ; -   ; -   ;;;;;;;;;;;;;;
01/08/25 sex;0,00%; 5,54 ;1.321.797,88 ; 251,79 ; 5.149,26 ; 1.322.049,67 ; 31.240,59 ; 8.235.078,39 ; 7.167.360,08 ;-1.067.718,30 ; 118,71 ; 10.413,53 ; -   ; -   ;;;;;;;;;;;;;;
02/08/25 sáb;0,00%; 5,54 ;1.322.049,67 ; 251,84 ; 5.401,09 ; 1.322.301,51 ; 32.636,67 ; 8.236.474,46 ; 7.168.725,39 ;-1.067.749,08 ; 124,02 ; 10.878,89 ; -   ; -   ;;;;;;;;;;;;;;
03/08/25 dom;0,00%; 5,54 ;1.322.301,51 ; 251,88 ; 5.652,97 ; 1.322.553,39 ; 34.033,01 ; 8.237.870,80 ; 7.170.090,95 ;-1.067.779,86 ; 129,33 ; 11.344,34 ; -   ; -   ;;;;;;;;;;;;;;
04/08/25 seg;0,00%; 5,51 ;1.322.553,39 ; 251,93 ; 5.904,91 ; 1.322.805,32 ; 35.421,48 ; 8.239.259,27 ; 7.171.456,77 ;-1.067.802,50 ; 134,60 ; 11.807,16 ; -   ; -   ;;;;;;;;;;;;;;
05/08/25 ter;0,00%; 5,51 ;1.322.805,32 ; 251,98 ; 6.156,89 ; 1.323.057,30 ; 36.810,37 ; 8.240.648,16 ; 7.172.822,85 ;-1.067.825,31 ; 139,88 ; 12.270,12 ; -   ; -   ;;;;;;;;;;;;;;
06/08/25 qua;0,00%; 5,48 ;1.323.057,30 ; 252,03 ; 6.408,91 ; 1.323.309,33 ; 38.191,53 ; 8.242.029,32 ; 7.174.189,20 ;-1.067.840,13 ; 145,13 ; 12.730,51 ; -   ; -   ;;;;;;;;;;;;;;
07/08/25 qui;0,00%; 5,46 ;1.323.309,33 ; 252,08 ; 6.660,99 ; 1.323.561,40 ; 39.568,82 ; 8.243.406,61 ; 7.175.555,80 ;-1.067.850,82 ; 150,36 ; 13.189,61 ; -   ; -   ;;;;;;;;;;;;;;
08/08/25 sex;0,00%; 5,43 ;1.323.561,40 ; 252,12 ; 6.913,11 ; 1.323.813,53 ; 40.936,69 ; 8.244.774,49 ; 7.176.922,66 ;-1.067.851,82 ; 155,56 ; 13.645,56 ; -   ; -   ;;;;;;;;;;;;;;
09/08/25 sáb;0,00%; 5,43 ;1.323.813,53 ; 252,17 ; 7.165,28 ; 1.324.065,70 ; 42.304,83 ; 8.246.142,62 ; 7.178.289,79 ;-1.067.852,83 ; 160,76 ; 14.101,61 ; -   ; -   ;;;;;;;;;;;;;;
10/08/25 dom;0,00%; 5,43 ;1.324.065,70 ; 252,22 ; 7.417,50 ; 1.324.317,92 ; 43.673,22 ; 8.247.511,01 ; 7.179.657,17 ;-1.067.853,84 ; 165,96 ; 14.557,74 ; -   ; -   ;;;;;;;;;;;;;;
11/08/25 seg;0,00%; 5,45 ;1.324.317,92 ; 252,27 ; 7.669,77 ; 1.324.570,19 ; 45.047,40 ; 8.248.885,19 ; 7.181.024,81 ;-1.067.860,38 ; 171,18 ; 15.015,80 ; -   ; -   ;;;17975009,37;-16.650.691,45 ;;;;;;;;;;
12/08/25 ter;0,00%; 5,41 ;1.324.570,19 ; 252,32 ; 7.922,09 ; 1.324.822,50 ; 46.411,22 ; 8.250.249,01 ; 7.182.392,72 ;-1.067.856,29 ; 176,36 ; 15.470,41 ; -   ; -   ;;;;;;;;;;;;;;
13/08/25 qua;0,00%; 5,39 ;1.324.822,50 ; 252,36 ; 8.174,45 ; 1.325.074,87 ; 47.772,16 ; 8.251.609,96 ; 7.183.760,88 ;-1.067.849,07 ; 181,53 ; 15.924,05 ; -   ; -   ;;;;;;;;;;;;;;
14/08/25 qui;0,00%; 5,41 ;1.325.074,87 ; 252,41 ; 8.426,86 ; 1.325.327,28 ; 49.137,59 ; 8.252.975,38 ; 7.185.129,31 ;-1.067.846,07 ; 186,72 ; 16.379,20 ; -   ; -   ;;;;;;;;;;;;;;
15/08/25 sex;0,00%; 5,39 ;1.325.327,28 ; 252,46 ; 8.679,32 ; 1.325.579,74 ; 50.499,05 ; 8.254.336,84 ; 7.186.498,00 ;-1.067.838,85 ; 191,90 ; 16.833,02 ; -   ; -   ;;;;;;;;;;;;;;
16/08/25 sáb;0,00%; 5,39 ;1.325.579,74 ; 252,51 ; 8.931,83 ; 1.325.832,25 ; 51.860,78 ; 8.255.698,57 ; 7.187.866,95 ;-1.067.831,62 ; 197,07 ; 17.286,93 ; -   ; -   ;;;;;;;;;;;;;;
17/08/25 dom;0,00%; 5,39 ;1.325.832,25 ; 252,56 ; 9.184,39 ; 1.326.084,80 ; 53.222,76 ; 8.257.060,56 ; 7.189.236,15 ;-1.067.824,40 ; 202,25 ; 17.740,92 ; -   ; -   ;;;;;;;;;;;;;;
18/08/25 seg;0,00%; 5,42 ;1.326.084,80 ; 252,60 ; 9.436,99 ; 1.326.337,41 ; 54.590,74 ; 8.258.428,53 ; 7.190.605,62 ;-1.067.822,91 ; 207,44 ; 18.196,91 ; -   ; -   ;;;;;;;;;;;;;;
19/08/25 ter;0,00%; 5,47 ;1.326.337,41 ; 252,65 ; 9.689,65 ; 1.326.590,06 ; 55.973,16 ; 8.259.810,95 ; 7.191.975,35 ;-1.067.835,59 ; 212,70 ; 18.657,72 ; -   ; -   ;;;;;;;;;;;;;;
20/08/25 qua;0,00%; 5,47 ;1.326.590,06 ; 252,70 ; 9.942,35 ; 1.326.842,76 ; 57.356,08 ; 8.261.193,88 ; 7.193.345,34 ;-1.067.848,53 ; 217,95 ; 19.118,69 ; -   ; -   ;;;;;;;;;;;;;;
21/08/25 qui;0,00%; 5,48 ;1.326.842,76 ; 252,75 ; 10.195,09 ; 1.327.095,51 ; 58.741,86 ; 8.262.579,65 ; 7.194.715,60 ;-1.067.864,05 ; 223,22 ; 19.580,62 ; -   ; -   ;;;;;;;;;;;;;;
22/08/25 sex;0,00%; 5,44 ;1.327.095,51 ; 252,80 ; 10.447,89 ; 1.327.348,31 ; 60.116,87 ; 8.263.954,66 ; 7.196.086,11 ;-1.067.868,55 ; 228,44 ; 20.038,96 ; -   ; -   ;;;;;;;;;;;;;;
23/08/25 sáb;0,00%; 5,44 ;1.327.348,31 ; 252,85 ; 10.700,74 ; 1.327.601,15 ; 61.492,14 ; 8.265.329,93 ; 7.197.456,88 ;-1.067.873,05 ; 233,67 ; 20.497,38 ; -   ; -   ;;;;;;;;;;;;;;
24/08/25 dom;0,00%; 5,44 ;1.327.601,15 ; 252,89 ; 10.953,63 ; 1.327.854,04 ; 62.867,68 ; 8.266.705,47 ; 7.198.827,92 ;-1.067.877,55 ; 238,90 ; 20.955,89 ; -   ; -   ;;;;;;;;;;;;;;
25/08/25 seg;0,00%; 5,42 ;1.327.854,04 ; 252,94 ; 11.206,57 ; 1.328.106,99 ; 64.237,96 ; 8.268.075,76 ; 7.200.199,21 ;-1.067.876,54 ; 244,10 ; 21.412,65 ; -   ; -   ;;;;;;;;;;;;;;
26/08/25 ter;0,00%; 5,42 ;1.328.106,99 ; 252,99 ; 11.459,56 ; 1.328.359,98 ; 65.609,62 ; 8.269.447,41 ; 7.201.570,77 ;-1.067.876,64 ; 249,32 ; 21.869,87 ; -   ; -   ;;;;;;;;;;;;;;
27/08/25 qua;0,00%; 5,44 ;1.328.359,98 ; 253,04 ; 11.712,60 ; 1.328.613,01 ; 66.986,86 ; 8.270.824,65 ; 7.202.942,59 ;-1.067.882,06 ; 254,55 ; 22.328,95 ; -   ; -   ;;;;;;;;;;;;;;
28/08/25 qui;0,00%; 5,41 ;1.328.613,01 ; 253,09 ; 11.965,68 ; 1.328.866,10 ; 68.356,43 ; 8.272.194,22 ; 7.204.314,67 ;-1.067.879,55 ; 259,75 ; 22.785,48 ; -   ; -   ;;;;;;;;;;;;;;
29/08/25 sex;0,00%; 5,43 ;1.328.866,10 ; 253,13 ; 12.218,82 ; 1.329.119,23 ; 69.730,04 ; 8.273.567,83 ; 7.205.687,01 ;-1.067.880,82 ; 264,97 ; 23.243,35 ; -   ; -   ;;;;;;;;;;;;;;
30/08/25 sáb;0,00%; 5,43 ;1.329.119,23 ; 253,18 ; 12.472,00 ; 1.329.372,42 ; 71.103,91 ; 8.274.941,70 ; 7.207.059,62 ;-1.067.882,08 ; 270,19 ; 23.701,30 ; -   ; -   ;;;;;;;;;;;;;;
31/08/25 dom;0,00%; 5,43 ;1.329.372,42 ; 253,23 ; 12.725,23 ; 1.329.625,65 ; 72.478,04 ; 8.276.315,83 ; 7.208.432,48 ;-1.067.883,35 ; 275,42 ; 24.159,35 ; -   ; -   ;;;;;;;;;;;;;;
01/09/25 seg;0,00%; 5,44 ;1.329.625,65 ; 253,28 ; 12.978,51 ; 1.329.878,93 ; 73.855,32 ; 8.277.693,11 ; 7.078.147,59 ;-1.199.545,52 ; 280,65 ; 24.618,44 ; -   ; -   ;;;;;;;;;;;;;;
02/09/25 ter;0,00%; 5,47 ;1.329.878,93 ; 253,33 ; 13.231,84 ; 1.330.132,25 ; 75.240,51 ; 8.279.078,30 ; 7.079.495,90 ;-1.199.582,40 ; 285,91 ; 25.080,17 ; -   ; -   ;;;;;;;;;;;;;;
03/09/25 qua;0,00%; 5,45 ;1.330.132,25 ; 253,38 ; 13.485,21 ; 1.330.385,63 ; 76.621,03 ; 8.280.458,82 ; 7.080.844,46 ;-1.199.614,35 ; 291,16 ; 25.540,34 ; -   ; -   ;;;;;;;;;;;;;;
04/09/25 qui;0,00%; 5,46 ;1.330.385,63 ; 253,42 ; 13.738,64 ; 1.330.639,05 ; 78.004,39 ; 8.281.842,18 ; 7.082.193,29 ;-1.199.648,89 ; 296,42 ; 26.001,46 ; -   ; -   ;;;;;;;;;;;;;;
05/09/25 sex;0,00%; 5,40 ;1.330.639,05 ; 253,47 ; 13.992,11 ; 1.330.892,52 ; 79.372,33 ; 8.283.210,12 ; 7.083.542,37 ;-1.199.667,75 ; 301,61 ; 26.457,44 ; -   ; -   ;;;;;;;;;;;;;;
06/09/25 sáb;0,00%; 5,40 ;1.330.892,52 ; 253,52 ; 14.245,63 ; 1.331.146,04 ; 80.740,52 ; 8.284.578,32 ; 7.084.891,70 ;-1.199.686,61 ; 306,81 ; 26.913,51 ; -   ; -   ;;;;;;;;;;;;;;
07/09/25 dom;0,00%; 5,40 ;1.331.146,04 ; 253,57 ; 14.499,20 ; 1.331.399,61 ; 82.108,98 ; 8.285.946,77 ; 7.086.241,29 ;-1.199.705,48 ; 312,01 ; 27.369,66 ; -   ; -   ;;;;;;;;;;;;;;
08/09/25 seg;0,00%; 5,43 ;1.331.399,61 ; 253,62 ; 14.752,81 ; 1.331.653,23 ; 83.485,56 ; 8.287.323,35 ; 7.087.591,14 ;-1.199.732,21 ; 317,25 ; 27.828,52 ; -   ; -   ;;;;;;;;;;;;;;
09/09/25 ter;0,00%; 5,43 ;1.331.653,23 ; 253,67 ; 15.006,48 ; 1.331.906,89 ; 84.862,41 ; 8.288.700,20 ; 7.088.941,25 ;-1.199.758,95 ; 322,48 ; 28.287,47 ; -   ; -   ;;;;;;;;;;;;;;
10/09/25 qua;0,00%; 5,41 ;1.331.906,89 ; 253,71 ; 15.260,19 ; 1.332.160,61 ; 86.235,58 ; 8.290.073,37 ; 7.090.291,61 ;-1.199.781,76 ; 327,70 ; 28.745,19 ; -   ; -   ;;;;;;;;;;;;;;
11/09/25 qui;0,00%; 5,39 ;1.332.160,61 ; 253,76 ; 15.513,95 ; 1.332.414,37 ; 87.602,29 ; 8.291.440,08 ; 7.091.642,24 ;-1.199.797,84 ; 332,89 ; 29.200,76 ; -   ; -   ;;;;;;;;;;;;;;
12/09/25 sex;0,00%; 5,37 ;1.332.414,37 ; 253,81 ; 15.767,76 ; 1.332.668,18 ; 88.964,66 ; 8.292.802,46 ; 7.092.993,11 ;-1.199.809,34 ; 338,07 ; 29.654,89 ; -   ; -   ;;;;;;;;;;;;;;
13/09/25 sáb;0,00%; 5,37 ;1.332.668,18 ; 253,86 ; 16.021,62 ; 1.332.922,04 ; 90.327,30 ; 8.294.165,09 ; 7.094.344,25 ;-1.199.820,84 ; 343,24 ; 30.109,10 ; -   ; -   ;;;;;;;;;;;;;;
14/09/25 dom;0,00%; 5,37 ;1.332.922,04 ; 253,91 ; 16.275,53 ; 1.333.175,94 ; 91.690,20 ; 8.295.527,99 ; 7.095.695,64 ;-1.199.832,34 ; 348,42 ; 30.563,40 ; -   ; -   ;;;;;;;;;;;;;;
15/09/25 seg;0,00%; 5,32 ;1.333.175,94 ; 253,96 ; 16.529,48 ; 1.333.429,90 ; 93.041,44 ; 8.296.879,23 ; 7.097.047,29 ;-1.199.831,94 ; 353,56 ; 31.013,81 ; -   ; -   ;;;;;;;;;;;;;;
16/09/25 ter;0,00%; 5,31 ;1.333.429,90 ; 254,00 ; 16.783,49 ; 1.333.683,90 ; 94.390,10 ; 8.298.227,89 ; 7.098.399,20 ;-1.199.828,69 ; 358,68 ; 31.463,37 ; -   ; -   ;;;;;;;;;;;;;;
17/09/25 qua;0,00%; 5,30 ;1.333.683,90 ; 254,05 ; 17.037,54 ; 1.333.937,95 ; 95.736,85 ; 8.299.574,64 ; 7.099.751,37 ;-1.199.823,28 ; 363,80 ; 31.912,28 ; -   ; -   ;;;;;;;;;;;;;;
18/09/25 qui;0,00%; 5,30 ;1.333.937,95 ; 254,10 ; 17.291,64 ; 1.334.192,05 ; 97.083,84 ; 8.300.921,63 ; 7.101.103,79 ;-1.199.817,84 ; 368,92 ; 32.361,28 ; -   ; -   ;;;;;;;;;;;;;;
19/09/25 sex;0,00%; 5,33 ;1.334.192,05 ; 254,15 ; 17.545,79 ; 1.334.446,20 ; 98.437,84 ; 8.302.275,63 ; 7.102.456,47 ;-1.199.819,16 ; 374,06 ; 32.812,61 ; -   ; -   ;;;;;;;;;;;;;;
20/09/25 sáb;0,00%; 5,33 ;1.334.446,20 ; 254,20 ; 17.799,99 ; 1.334.700,40 ; 99.792,10 ; 8.303.629,89 ; 7.103.809,41 ;-1.199.820,48 ; 379,21 ; 33.264,03 ; -   ; -   ;;;;;;;;;;;;;;
21/09/25 dom;0,00%; 5,33 ;1.334.700,40 ; 254,25 ; 18.054,23 ; 1.334.954,65 ; 101.146,62 ; 8.304.984,41 ; 7.105.162,61 ;-1.199.821,80 ; 384,36 ; 33.715,54 ; -   ; -   ;;;;;;;;;;;;;;
22/09/25 seg;0,00%; 5,35 ;1.334.954,65 ; 254,29 ; 18.308,52 ; 1.335.208,94 ; 102.506,00 ; 8.306.343,79 ; 7.106.516,06 ;-1.199.827,73 ; 389,52 ; 34.168,67 ; -   ; -   ;;;;;;;;;;;;;;
23/09/25 ter;0,00%; 5,31 ;1.335.208,94 ; 254,34 ; 18.562,87 ; 1.335.463,28 ; 103.855,62 ; 8.307.693,41 ; 7.107.869,77 ;-1.199.823,63 ; 394,65 ; 34.618,54 ; -   ; -   ;;;;;;;;;;;;;;
24/09/25 qua;0,00%; 5,31 ;1.335.463,28 ; 254,39 ; 18.817,26 ; 1.335.717,67 ; 105.206,74 ; 8.309.044,53 ; 7.109.223,74 ;-1.199.820,78 ; 399,79 ; 35.068,91 ; -   ; -   ;;;;;;;;;;;;;;
25/09/25 qui;0,00%; 5,34 ;1.335.717,67 ; 254,44 ; 19.071,70 ; 1.335.972,11 ; 106.566,08 ; 8.310.403,87 ; 7.110.577,97 ;-1.199.825,90 ; 404,95 ; 35.522,03 ; -   ; -   ;;;;;;;;;;;;;;
26/09/25 sex;0,00%; 5,34 ;1.335.972,11 ; 254,49 ; 19.326,19 ; 1.336.226,60 ; 107.926,19 ; 8.311.763,98 ; 7.111.932,46 ;-1.199.831,52 ; 410,12 ; 35.975,40 ; -   ; -   ;;;;;;;;;;;;;;
27/09/25 sáb;0,00%; 5,34 ;1.336.226,60 ; 254,54 ; 19.580,72 ; 1.336.481,14 ; 109.286,56 ; 8.313.124,35 ; 7.113.287,20 ;-1.199.837,15 ; 415,29 ; 36.428,85 ; -   ; -   ;;;;;;;;;;;;;;
28/09/25 dom;0,00%; 5,34 ;1.336.481,14 ; 254,58 ; 19.835,31 ; 1.336.735,72 ; 110.647,18 ; 8.314.484,98 ; 7.114.642,20 ;-1.199.842,77 ; 420,46 ; 36.882,39 ; -   ; -   ;;;;;;;;;;;;;;
29/09/25 seg;0,00%; 5,32 ;1.336.735,72 ; 254,63 ; 20.089,94 ; 1.336.990,35 ; 112.002,57 ; 8.315.840,36 ; 7.115.997,46 ;-1.199.842,90 ; 425,61 ; 37.334,19 ; -   ; -   ;;;;;;;;;;;;;;
30/09/25 ter;0,00%; 5,32 ;1.336.990,35 ; 254,68 ; 20.344,62 ; 1.337.245,04 ; 113.357,12 ; 8.317.194,91 ; 7.117.352,98 ;-1.199.841,93 ; 430,76 ; 37.785,71 ; -   ; -   ;;;;;;;;;;;;;;
01/10/25 qua;0,00%; 5,32 ;1.337.245,04 ; 254,73 ; 20.599,35 ; 1.337.499,77 ; 114.712,49 ; 8.318.550,28 ; 7.193.876,24 ;-1.124.674,04 ; 435,91 ; 38.237,50 ; -   ; -   ;;;;;;;;;;;;;;
02/10/25 qui;0,00%; 5,34 ;1.337.499,77 ; 254,78 ; 20.854,13 ; 1.337.754,55 ; 116.074,26 ; 8.319.912,05 ; 7.195.246,60 ;-1.124.665,45 ; 441,08 ; 38.691,42 ; -   ; -   ;;;;;;;;;;;;;;
03/10/25 sex;0,00%; 5,35 ;1.337.754,55 ; 254,83 ; 21.108,96 ; 1.338.009,37 ; 117.437,53 ; 8.321.275,32 ; 7.196.617,21 ;-1.124.658,11 ; 446,26 ; 39.145,84 ; -   ; -   ;;;;;;;;;;;;;;
04/10/25 sáb;0,00%; 5,35 ;1.338.009,37 ; 254,88 ; 21.363,83 ; 1.338.264,25 ; 118.801,07 ; 8.322.638,86 ; 7.197.988,09 ;-1.124.650,77 ; 451,44 ; 39.600,36 ; -   ; -   ;;;;;;;;;;;;;;
05/10/25 dom;0,00%; 5,35 ;1.338.264,25 ; 254,92 ; 21.618,76 ; 1.338.519,17 ; 120.164,86 ; 8.324.002,65 ; 7.199.359,22 ;-1.124.643,43 ; 456,63 ; 40.054,95 ; -   ; -   ;;;;;;;;;;;;;;
06/10/25 seg;0,00%; 5,32 ;1.338.519,17 ; 254,97 ; 21.873,73 ; 1.338.774,15 ; 121.521,98 ; 8.325.359,77 ; 7.200.730,62 ;-1.124.629,15 ; 461,78 ; 40.507,33 ; -   ; -   ;;;;;;;;;;;;;;
07/10/25 ter;0,00%; 5,34 ;1.338.774,15 ; 255,02 ; 22.128,75 ; 1.339.029,17 ; 122.882,85 ; 8.326.720,64 ; 7.202.102,28 ;-1.124.618,37 ; 466,95 ; 40.960,95 ; -   ; -   ;;;;;;;;;;;;;;
08/10/25 qua;0,00%; 5,34 ;1.339.029,17 ; 255,07 ; 22.383,82 ; 1.339.284,24 ; 124.245,62 ; 8.328.083,41 ; 7.203.474,20 ;-1.124.609,21 ; 472,13 ; 41.415,21 ; -   ; -   ;;;;;;;;;;;;;;
09/10/25 qui;0,00%; 5,35 ;1.339.284,24 ; 255,12 ; 22.638,94 ; 1.339.539,36 ;-1.972,21 ; 6.443.357,23 ; 7.204.846,38 ; 761.489,15 ;-7,49 ;-657,40 ;;; 127.583,68 ; 1.758.508,35 ;;;;;;;;;;;;
10/10/25 sex;0,00%; 5,44 ;1.339.539,36 ; 255,17 ; 22.894,11 ; 1.339.794,52 ;-582,93 ; 6.444.746,52 ; 7.206.218,82 ; 761.472,31 ;-2,22 ;-194,31 ; -   ; -   ;;;;;;;;;;;;;;
11/10/25 sáb;0,00%; 5,44 ;1.339.794,52 ; 255,22 ; 23.149,32 ; 1.340.049,74 ; 806,62 ; 6.446.136,06 ; 7.207.591,53 ; 761.455,46 ; 3,07 ; 268,87 ; -   ; -   ;;;;;;;;;;;;;;
12/10/25 dom;0,00%; 5,44 ;1.340.049,74 ; 255,26 ; 23.404,59 ; 1.340.305,00 ; 2.196,44 ; 6.447.525,88 ; 7.208.964,49 ; 761.438,62 ; 8,35 ; 732,15 ; -   ; -   ;;;;;;;;;;;;;;
13/10/25 seg;0,00%; 5,46 ;1.340.305,00 ; 255,31 ; 23.659,90 ; 1.340.560,32 ; 3.591,19 ; 6.448.920,63 ; 7.210.337,72 ; 761.417,09 ; 13,65 ; 1.197,06 ; -   ; -   ;;;;;;;;;;;;;;
14/10/25 ter;0,00%; 5,50 ;1.340.560,32 ; 255,36 ; 23.915,26 ; 1.340.815,68 ; 4.995,22 ; 6.450.324,66 ; 7.211.711,21 ; 761.386,55 ; 18,98 ; 1.665,07 ; -   ; -   ;;;;;;;;;;;;;;
15/10/25 qua;0,00%; 5,45 ;1.340.815,68 ; 255,41 ; 24.170,67 ; 1.341.071,09 ; 6.386,28 ; 6.451.715,72 ; 7.213.084,96 ; 761.369,23 ; 24,27 ; 2.128,76 ; -   ; -   ;;;;;;;;;;;;;;
16/10/25 qui;0,00%; 5,44 ;1.341.071,09 ; 255,46 ; 24.426,13 ; 1.341.326,55 ; 7.774,80 ; 6.453.104,25 ; 7.214.458,97 ; 761.354,72 ; 29,54 ; 2.591,60 ; -   ; -   ;;;;;;;;;;;;;;
17/10/25 sex;0,00%; 5,44 ;1.341.326,55 ; 255,51 ; 24.681,64 ; 1.341.582,06 ; 9.164,51 ; 6.454.493,95 ; 7.215.833,25 ; 761.339,29 ; 34,83 ; 3.054,84 ; -   ; -   ;;;;;;;;;;;;;;
18/10/25 sáb;0,00%; 5,44 ;1.341.582,06 ; 255,56 ; 24.937,20 ; 1.341.837,61 ; 10.554,48 ; 6.455.883,92 ; 7.217.207,78 ; 761.323,86 ; 40,11 ; 3.518,16 ; -   ; -   ;;;;;;;;;;;;;;
19/10/25 dom;0,00%; 5,44 ;1.341.837,61 ; 255,61 ; 25.192,80 ; 1.342.093,22 ; 11.944,72 ; 6.457.274,16 ; 7.218.582,58 ; 761.308,42 ; 45,39 ; 3.981,57 ; -   ; -   ;;;;;;;;;;;;;;
20/10/25 seg;0,00%; 5,38 ;1.342.093,22 ; 255,65 ; 25.448,46 ; 1.342.348,87 ; 13.319,39 ; 6.458.648,84 ; 7.219.957,64 ; 761.308,80 ; 50,61 ; 4.439,80 ; -   ; -   ;;;;;;;;;;;;;;
21/10/25 ter;0,00%; 5,38 ;1.342.348,87 ; 255,70 ; 25.704,16 ; 1.342.604,57 ; 14.696,30 ; 6.460.025,74 ; 7.221.332,96 ; 761.307,22 ; 55,85 ; 4.898,77 ; -   ; -   ;;;;;;;;;;;;;;
22/10/25 qua;0,00%; 5,39 ;1.342.604,57 ; 255,75 ; 25.959,91 ; 1.342.860,32 ; 16.074,75 ; 6.461.404,19 ; 7.222.708,54 ; 761.304,35 ; 61,08 ; 5.358,25 ; -   ; -   ;;;;;;;;;;;;;;
23/10/25 qui;0,00%; 5,38 ;1.342.860,32 ; 255,80 ; 26.215,71 ; 1.343.116,12 ; 17.451,98 ; 6.462.781,42 ; 7.224.084,39 ; 761.302,97 ; 66,32 ; 5.817,33 ; -   ; -   ;;;;;;;;;;;;;;
24/10/25 sex;0,00%; 5,38 ;1.343.116,12 ; 255,85 ; 26.471,56 ; 1.343.371,97 ; 18.828,36 ; 6.464.157,81 ; 7.225.460,49 ; 761.302,69 ; 71,55 ; 6.276,12 ; -   ; -   ;;;;;;;;;;;;;;
25/10/25 sáb;0,00%; 5,38 ;1.343.371,97 ; 255,90 ; 26.727,46 ; 1.343.627,87 ; 20.205,02 ; 6.465.534,46 ; 7.226.836,86 ; 761.302,41 ; 76,78 ; 6.735,01 ; -   ; -   ;;;;;;;;;;;;;;
26/10/25 dom;0,00%; 5,38 ;1.343.627,87 ; 255,95 ; 26.983,40 ; 1.343.883,82 ; 21.581,93 ; 6.466.911,37 ; 7.228.213,50 ; 761.302,13 ; 82,01 ; 7.193,98 ; -   ; -   ;;;;;;;;;;;;;;
27/10/25 seg;0,00%; 5,37 ;1.343.883,82 ; 255,99 ; 27.239,40 ; 1.344.139,81 ; 22.957,75 ; 6.468.287,19 ; 7.229.590,39 ; 761.303,20 ; 87,24 ; 7.652,58 ; -   ; -   ;;;;;;;;;;;;;;
28/10/25 ter;0,00%; 5,37 ;1.344.139,81 ; 256,04 ; 27.495,44 ; 1.344.395,86 ; 24.332,45 ; 6.469.661,89 ; 7.230.967,55 ; 761.305,66 ; 92,46 ; 8.110,82 ; -   ; -   ;;;;;;;;;;;;;;
29/10/25 qua;0,00%; 5,34 ;1.344.395,86 ; 256,09 ; 27.751,53 ; 1.344.651,95 ; 25.700,39 ; 6.471.029,83 ; 7.232.344,96 ; 761.315,13 ; 97,66 ; 8.566,80 ; -   ; -   ;;;;;;;;;;;;;;
30/10/25 qui;0,00%; 5,39 ;1.344.651,95 ; 256,14 ; 28.007,67 ; 1.344.908,09 ; 27.079,71 ; 6.472.409,15 ; 7.233.722,65 ; 761.313,50 ; 102,90 ; 9.026,57 ; -   ; -   ;;;;;;;;;;;;;;
